SubCategoryCode,CODE,SHORT DESCRIPTION (VALID ICD-10 FY2024),LONG DESCRIPTION (VALID ICD-10 FY2024)
F02,F0283,"Dem in other dis classd elswhr, unsp sev, with mood distrb","Dementia in other diseases classified elsewhere, unspecified severity, with mood disturbance"
F02,F0284,"Dem in other dis classd elswhr, unsp severity, with anxiety","Dementia in other diseases classified elsewhere, unspecified severity, with anxiety"
F02,F02A0,"Dem in other dis classd elswhr, mild, w/o beh/psych/mood/anx","Dementia in other diseases classified elsewhere, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F02,F02A11,"Dem in other diseases classd elswhr, mild, with agitation","Dementia in other diseases classified elsewhere, mild, with agitation"
F02,F02A18,"Dem in other dis classd elswhr, mild, with other beh distrb","Dementia in other diseases classified elsewhere, mild, with other behavioral disturbance"
F02,F02A2,"Dem in other dis classd elswhr, mild, with psych disturb","Dementia in other diseases classified elsewhere, mild, with psychotic disturbance"
F02,F02A3,"Dem in other diseases classd elswhr, mild, with mood disturb","Dementia in other diseases classified elsewhere, mild, with mood disturbance"
F02,F02A4,"Dementia in other diseases classd elswhr, mild, with anxiety","Dementia in other diseases classified elsewhere, mild, with anxiety"
F02,F02B0,"Dem in other dis classd elswhr, mod, w/o beh/psych/mood/anx","Dementia in other diseases classified elsewhere, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F02,F02B11,"Dem in other dis classd elswhr, moderate, with agitation","Dementia in other diseases classified elsewhere, moderate, with agitation"
F02,F02B18,"Dem in other dis classd elswhr, mod, with other beh disturb","Dementia in other diseases classified elsewhere, moderate, with other behavioral disturbance"
F02,F02B2,"Dem in other dis classd elswhr, moderate, with psych disturb","Dementia in other diseases classified elsewhere, moderate, with psychotic disturbance"
F02,F02B3,"Dem in other dis classd elswhr, moderate, with mood disturb","Dementia in other diseases classified elsewhere, moderate, with mood disturbance"
F02,F02B4,"Dem in other diseases classd elswhr, moderate, with anxiety","Dementia in other diseases classified elsewhere, moderate, with anxiety"
F02,F02C0,"Dem in other dis classd elswhr, sev, w/o beh/psych/mood/anx","Dementia in other diseases classified elsewhere, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F02,F02C11,"Dem in other diseases classd elswhr, severe, with agitation","Dementia in other diseases classified elsewhere, severe, with agitation"
F02,F02C18,"Dem in other dis classd elswhr, sev, with other beh distrb","Dementia in other diseases classified elsewhere, severe, with other behavioral disturbance"
F02,F02C2,"Dem in other dis classd elswhr, severe, with psych disturb","Dementia in other diseases classified elsewhere, severe, with psychotic disturbance"
F02,F02C3,"Dem in other dis classd elswhr, severe, with mood disturb","Dementia in other diseases classified elsewhere, severe, with mood disturbance"
F02,F02C4,"Dem in other diseases classd elswhr, severe, with anxiety","Dementia in other diseases classified elsewhere, severe, with anxiety"
F03,F0390,"Unsp dementia, unsp severity, without beh/psych/mood/anx","Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F03,F0391,Unspecified dementia with behavioral disturbance,Unspecified dementia with behavioral disturbance
F03,F03911,"Unspecified dementia, unspecified severity, with agitation","Unspecified dementia, unspecified severity, with agitation"
F03,F03918,"Unsp dementia, unsp severity, with other behavioral disturb","Unspecified dementia, unspecified severity, with other behavioral disturbance"
F03,F0392,"Unsp dementia, unspecified severity, with psychotic disturb","Unspecified dementia, unspecified severity, with psychotic disturbance"
F03,F0393,"Unsp dementia, unspecified severity, with mood disturb","Unspecified dementia, unspecified severity, with mood disturbance"
F03,F0394,"Unspecified dementia, unspecified severity, with anxiety","Unspecified dementia, unspecified severity, with anxiety"
F03,F03A0,"Unspecified dementia, mild, without beh/psych/mood/anx","Unspecified dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F03,F03A11,"Unspecified dementia, mild, with agitation","Unspecified dementia, mild, with agitation"
F03,F03A18,"Unspecified dementia, mild, with other behavioral disturb","Unspecified dementia, mild, with other behavioral disturbance"
F03,F03A2,"Unspecified dementia, mild, with psychotic disturbance","Unspecified dementia, mild, with psychotic disturbance"
F03,F03A3,"Unspecified dementia, mild, with mood disturbance","Unspecified dementia, mild, with mood disturbance"
F03,F03A4,"Unspecified dementia, mild, with anxiety","Unspecified dementia, mild, with anxiety"
F03,F03B0,"Unspecified dementia, moderate, without beh/psych/mood/anx","Unspecified dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F03,F03B11,"Unspecified dementia, moderate, with agitation","Unspecified dementia, moderate, with agitation"
F03,F03B18,"Unsp dementia, moderate, with other behavioral disturb","Unspecified dementia, moderate, with other behavioral disturbance"
F03,F03B2,"Unspecified dementia, moderate, with psychotic disturbance","Unspecified dementia, moderate, with psychotic disturbance"
F03,F03B3,"Unspecified dementia, moderate, with mood disturbance","Unspecified dementia, moderate, with mood disturbance"
F03,F03B4,"Unspecified dementia, moderate, with anxiety","Unspecified dementia, moderate, with anxiety"
F03,F03C0,"Unspecified dementia, severe, without beh/psych/mood/anx","Unspecified dementia, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F03,F03C11,"Unspecified dementia, severe, with agitation","Unspecified dementia, severe, with agitation"
F03,F03C18,"Unspecified dementia, severe, with other behavioral disturb","Unspecified dementia, severe, with other behavioral disturbance"
F03,F03C2,"Unspecified dementia, severe, with psychotic disturbance","Unspecified dementia, severe, with psychotic disturbance"
F03,F03C3,"Unspecified dementia, severe, with mood disturbance","Unspecified dementia, severe, with mood disturbance"
F03,F03C4,"Unspecified dementia, severe, with anxiety","Unspecified dementia, severe, with anxiety"
F04,F04,Amnestic disorder due to known physiological condition,Amnestic disorder due to known physiological condition
F05,F05,Delirium due to known physiological condition,Delirium due to known physiological condition
F06,F060,Psychotic disorder w hallucin due to known physiol condition,Psychotic disorder with hallucinations due to known physiological condition
F06,F061,Catatonic disorder due to known physiological condition,Catatonic disorder due to known physiological condition
F06,F062,Psychotic disorder w delusions due to known physiol cond,Psychotic disorder with delusions due to known physiological condition
F06,F0630,"Mood disorder due to known physiological condition, unsp","Mood disorder due to known physiological condition, unspecified"
F06,F0631,Mood disorder due to known physiol cond w depressv features,Mood disorder due to known physiological condition with depressive features
F06,F0632,Mood disord d/t physiol cond w major depressive-like epsd,Mood disorder due to known physiological condition with major depressive-like episode
F06,F0633,Mood disorder due to known physiol cond w manic features,Mood disorder due to known physiological condition with manic features
F06,F0634,Mood disorder due to known physiol cond w mixed features,Mood disorder due to known physiological condition with mixed features
F06,F064,Anxiety disorder due to known physiological condition,Anxiety disorder due to known physiological condition
F06,F0670,Mild neurocog disord d/t known physiol cond w/o beh distrb,Mild neurocognitive disorder due to known physiological condition without behavioral disturbance
F06,F0671,Mild neurocog disord d/t known physiol cond with beh distrb,Mild neurocognitive disorder due to known physiological condition with behavioral disturbance
F06,F068,Oth mental disorders due to known physiological condition,Other specified mental disorders due to known physiological condition
F07,F070,Personality change due to known physiological condition,Personality change due to known physiological condition
F07,F0781,Postconcussional syndrome,Postconcussional syndrome
F07,F0789,Oth personality & behavrl disord due to known physiol cond,Other personality and behavioral disorders due to known physiological condition
F07,F079,Unsp personality & behavrl disord due to known physiol cond,Unspecified personality and behavioral disorder due to known physiological condition
F09,F09,Unsp mental disorder due to known physiological condition,Unspecified mental disorder due to known physiological condition
F10,F1010,"Alcohol abuse, uncomplicated","Alcohol abuse, uncomplicated"
F10,F1011,"Alcohol abuse, in remission","Alcohol abuse, in remission"
F10,F10120,"Alcohol abuse with intoxication, uncomplicated","Alcohol abuse with intoxication, uncomplicated"
F10,F10121,Alcohol abuse with intoxication delirium,Alcohol abuse with intoxication delirium
F10,F10129,"Alcohol abuse with intoxication, unspecified","Alcohol abuse with intoxication, unspecified"
F10,F10130,"Alcohol abuse with withdrawal, uncomplicated","Alcohol abuse with withdrawal, uncomplicated"
F10,F10131,Alcohol abuse with withdrawal delirium,Alcohol abuse with withdrawal delirium
F10,F10132,Alcohol abuse with withdrawal with perceptual disturbance,Alcohol abuse with withdrawal with perceptual disturbance
F10,F10139,"Alcohol abuse with withdrawal, unspecified","Alcohol abuse with withdrawal, unspecified"
F10,F1014,Alcohol abuse with alcohol-induced mood disorder,Alcohol abuse with alcohol-induced mood disorder
F10,F10150,Alcohol abuse w alcoh-induce psychotic disorder w delusions,Alcohol abuse with alcohol-induced psychotic disorder with delusions
F10,F10151,Alcohol abuse w alcoh-induce psychotic disorder w hallucin,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations
F10,F10159,"Alcohol abuse with alcohol-induced psychotic disorder, unsp","Alcohol abuse with alcohol-induced psychotic disorder, unspecified"
F10,F10180,Alcohol abuse with alcohol-induced anxiety disorder,Alcohol abuse with alcohol-induced anxiety disorder
F10,F10181,Alcohol abuse with alcohol-induced sexual dysfunction,Alcohol abuse with alcohol-induced sexual dysfunction
F10,F10182,Alcohol abuse with alcohol-induced sleep disorder,Alcohol abuse with alcohol-induced sleep disorder
F10,F10188,Alcohol abuse with other alcohol-induced disorder,Alcohol abuse with other alcohol-induced disorder
F10,F1019,Alcohol abuse with unspecified alcohol-induced disorder,Alcohol abuse with unspecified alcohol-induced disorder
F10,F1020,"Alcohol dependence, uncomplicated","Alcohol dependence, uncomplicated"
F10,F1021,"Alcohol dependence, in remission","Alcohol dependence, in remission"
F10,F10220,"Alcohol dependence with intoxication, uncomplicated","Alcohol dependence with intoxication, uncomplicated"
F10,F10221,Alcohol dependence with intoxication delirium,Alcohol dependence with intoxication delirium
F10,F10229,"Alcohol dependence with intoxication, unspecified","Alcohol dependence with intoxication, unspecified"
F10,F10230,"Alcohol dependence with withdrawal, uncomplicated","Alcohol dependence with withdrawal, uncomplicated"
F10,F10231,Alcohol dependence with withdrawal delirium,Alcohol dependence with withdrawal delirium
F10,F10232,Alcohol dependence w withdrawal with perceptual disturbance,Alcohol dependence with withdrawal with perceptual disturbance
F10,F10239,"Alcohol dependence with withdrawal, unspecified","Alcohol dependence with withdrawal, unspecified"
F10,F1024,Alcohol dependence with alcohol-induced mood disorder,Alcohol dependence with alcohol-induced mood disorder
F10,F10250,Alcohol depend w alcoh-induce psychotic disorder w delusions,Alcohol dependence with alcohol-induced psychotic disorder with delusions
F10,F10251,Alcohol depend w alcoh-induce psychotic disorder w hallucin,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations
F10,F10259,"Alcohol dependence w alcoh-induce psychotic disorder, unsp","Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
F10,F1026,Alcohol depend w alcoh-induce persisting amnestic disorder,Alcohol dependence with alcohol-induced persisting amnestic disorder
F10,F1027,Alcohol dependence with alcohol-induced persisting dementia,Alcohol dependence with alcohol-induced persisting dementia
F10,F10280,Alcohol dependence with alcohol-induced anxiety disorder,Alcohol dependence with alcohol-induced anxiety disorder
F10,F10281,Alcohol dependence with alcohol-induced sexual dysfunction,Alcohol dependence with alcohol-induced sexual dysfunction
F10,F10282,Alcohol dependence with alcohol-induced sleep disorder,Alcohol dependence with alcohol-induced sleep disorder
F10,F10288,Alcohol dependence with other alcohol-induced disorder,Alcohol dependence with other alcohol-induced disorder
F10,F1029,Alcohol dependence with unspecified alcohol-induced disorder,Alcohol dependence with unspecified alcohol-induced disorder
F10,F1090,"Alcohol use, unspecified, uncomplicated","Alcohol use, unspecified, uncomplicated"
F10,F1091,"Alcohol use, unspecified, in remission","Alcohol use, unspecified, in remission"
F10,F10920,"Alcohol use, unspecified with intoxication, uncomplicated","Alcohol use, unspecified with intoxication, uncomplicated"
F10,F10921,"Alcohol use, unspecified with intoxication delirium","Alcohol use, unspecified with intoxication delirium"
F10,F10929,"Alcohol use, unspecified with intoxication, unspecified","Alcohol use, unspecified with intoxication, unspecified"
F10,F10930,"Alcohol use, unspecified with withdrawal, uncomplicated","Alcohol use, unspecified with withdrawal, uncomplicated"
F10,F10931,"Alcohol use, unspecified with withdrawal delirium","Alcohol use, unspecified with withdrawal delirium"
F10,F10932,"Alcohol use, unspecified with w/drawal w perceptual disturb","Alcohol use, unspecified with withdrawal with perceptual disturbance"
F10,F10939,"Alcohol use, unspecified with withdrawal, unspecified","Alcohol use, unspecified with withdrawal, unspecified"
F10,F1094,"Alcohol use, unspecified with alcohol-induced mood disorder","Alcohol use, unspecified with alcohol-induced mood disorder"
F10,F10950,"Alcohol use, unsp w alcoh-induce psych disorder w delusions","Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions"
F10,F10951,"Alcohol use, unsp w alcoh-induce psych disorder w hallucin","Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations"
F10,F10959,"Alcohol use, unsp w alcohol-induced psychotic disorder, unsp","Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified"
F10,F1096,"Alcohol use, unsp w alcoh-induce persist amnestic disorder","Alcohol use, unspecified with alcohol-induced persisting amnestic disorder"
F10,F1097,"Alcohol use, unsp with alcohol-induced persisting dementia","Alcohol use, unspecified with alcohol-induced persisting dementia"
F10,F10980,"Alcohol use, unsp with alcohol-induced anxiety disorder","Alcohol use, unspecified with alcohol-induced anxiety disorder"
F10,F10981,"Alcohol use, unsp with alcohol-induced sexual dysfunction","Alcohol use, unspecified with alcohol-induced sexual dysfunction"
F10,F10982,"Alcohol use, unspecified with alcohol-induced sleep disorder","Alcohol use, unspecified with alcohol-induced sleep disorder"
F10,F10988,"Alcohol use, unspecified with other alcohol-induced disorder","Alcohol use, unspecified with other alcohol-induced disorder"
F10,F1099,"Alcohol use, unsp with unspecified alcohol-induced disorder","Alcohol use, unspecified with unspecified alcohol-induced disorder"
F11,F1110,"Opioid abuse, uncomplicated","Opioid abuse, uncomplicated"
F11,F1111,"Opioid abuse, in remission","Opioid abuse, in remission"
F11,F11120,"Opioid abuse with intoxication, uncomplicated","Opioid abuse with intoxication, uncomplicated"
F11,F11121,Opioid abuse with intoxication delirium,Opioid abuse with intoxication delirium
F11,F11122,Opioid abuse with intoxication with perceptual disturbance,Opioid abuse with intoxication with perceptual disturbance
F11,F11129,"Opioid abuse with intoxication, unspecified","Opioid abuse with intoxication, unspecified"
F11,F1113,Opioid abuse with withdrawal,Opioid abuse with withdrawal
F11,F1114,Opioid abuse with opioid-induced mood disorder,Opioid abuse with opioid-induced mood disorder
F11,F11150,Opioid abuse w opioid-induced psychotic disorder w delusions,Opioid abuse with opioid-induced psychotic disorder with delusions
F11,F11151,Opioid abuse w opioid-induced psychotic disorder w hallucin,Opioid abuse with opioid-induced psychotic disorder with hallucinations
F11,F11159,"Opioid abuse with opioid-induced psychotic disorder, unsp","Opioid abuse with opioid-induced psychotic disorder, unspecified"
F11,F11181,Opioid abuse with opioid-induced sexual dysfunction,Opioid abuse with opioid-induced sexual dysfunction
F11,F11182,Opioid abuse with opioid-induced sleep disorder,Opioid abuse with opioid-induced sleep disorder
F11,F11188,Opioid abuse with other opioid-induced disorder,Opioid abuse with other opioid-induced disorder
F11,F1119,Opioid abuse with unspecified opioid-induced disorder,Opioid abuse with unspecified opioid-induced disorder
F11,F1120,"Opioid dependence, uncomplicated","Opioid dependence, uncomplicated"
F11,F1121,"Opioid dependence, in remission","Opioid dependence, in remission"
F11,F11220,"Opioid dependence with intoxication, uncomplicated","Opioid dependence with intoxication, uncomplicated"
F11,F11221,Opioid dependence with intoxication delirium,Opioid dependence with intoxication delirium
F11,F11222,Opioid dependence w intoxication with perceptual disturbance,Opioid dependence with intoxication with perceptual disturbance
F11,F11229,"Opioid dependence with intoxication, unspecified","Opioid dependence with intoxication, unspecified"
F11,F1123,Opioid dependence with withdrawal,Opioid dependence with withdrawal
F11,F1124,Opioid dependence with opioid-induced mood disorder,Opioid dependence with opioid-induced mood disorder
F11,F11250,Opioid depend w opioid-induc psychotic disorder w delusions,Opioid dependence with opioid-induced psychotic disorder with delusions
F11,F11251,Opioid depend w opioid-induc psychotic disorder w hallucin,Opioid dependence with opioid-induced psychotic disorder with hallucinations
F11,F11259,"Opioid dependence w opioid-induced psychotic disorder, unsp","Opioid dependence with opioid-induced psychotic disorder, unspecified"
F11,F11281,Opioid dependence with opioid-induced sexual dysfunction,Opioid dependence with opioid-induced sexual dysfunction
F11,F11282,Opioid dependence with opioid-induced sleep disorder,Opioid dependence with opioid-induced sleep disorder
F11,F11288,Opioid dependence with other opioid-induced disorder,Opioid dependence with other opioid-induced disorder
F11,F1129,Opioid dependence with unspecified opioid-induced disorder,Opioid dependence with unspecified opioid-induced disorder
F11,F1190,"Opioid use, unspecified, uncomplicated","Opioid use, unspecified, uncomplicated"
F11,F1191,"Opioid use, unspecified, in remission","Opioid use, unspecified, in remission"
F11,F11920,"Opioid use, unspecified with intoxication, uncomplicated","Opioid use, unspecified with intoxication, uncomplicated"
F11,F11921,"Opioid use, unspecified with intoxication delirium","Opioid use, unspecified with intoxication delirium"
F11,F11922,"Opioid use, unsp w intoxication with perceptual disturbance","Opioid use, unspecified with intoxication with perceptual disturbance"
F11,F11929,"Opioid use, unspecified with intoxication, unspecified","Opioid use, unspecified with intoxication, unspecified"
F11,F1193,"Opioid use, unspecified with withdrawal","Opioid use, unspecified with withdrawal"
F11,F1194,"Opioid use, unspecified with opioid-induced mood disorder","Opioid use, unspecified with opioid-induced mood disorder"
F11,F11950,"Opioid use, unsp w opioid-induc psych disorder w delusions","Opioid use, unspecified with opioid-induced psychotic disorder with delusions"
F11,F11951,"Opioid use, unsp w opioid-induc psych disorder w hallucin","Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations"
F11,F11959,"Opioid use, unsp w opioid-induced psychotic disorder, unsp","Opioid use, unspecified with opioid-induced psychotic disorder, unspecified"
F11,F11981,"Opioid use, unsp with opioid-induced sexual dysfunction","Opioid use, unspecified with opioid-induced sexual dysfunction"
F11,F11982,"Opioid use, unspecified with opioid-induced sleep disorder","Opioid use, unspecified with opioid-induced sleep disorder"
F11,F11988,"Opioid use, unspecified with other opioid-induced disorder","Opioid use, unspecified with other opioid-induced disorder"
F11,F1199,"Opioid use, unsp with unspecified opioid-induced disorder","Opioid use, unspecified with unspecified opioid-induced disorder"
F12,F1210,"Cannabis abuse, uncomplicated","Cannabis abuse, uncomplicated"
F12,F1211,"Cannabis abuse, in remission","Cannabis abuse, in remission"
F12,F12120,"Cannabis abuse with intoxication, uncomplicated","Cannabis abuse with intoxication, uncomplicated"
F12,F12121,Cannabis abuse with intoxication delirium,Cannabis abuse with intoxication delirium
F12,F12122,Cannabis abuse with intoxication with perceptual disturbance,Cannabis abuse with intoxication with perceptual disturbance
F12,F12129,"Cannabis abuse with intoxication, unspecified","Cannabis abuse with intoxication, unspecified"
F12,F1213,Cannabis abuse with withdrawal,Cannabis abuse with withdrawal
F12,F12150,Cannabis abuse with psychotic disorder with delusions,Cannabis abuse with psychotic disorder with delusions
F12,F12151,Cannabis abuse with psychotic disorder with hallucinations,Cannabis abuse with psychotic disorder with hallucinations
F12,F12159,"Cannabis abuse with psychotic disorder, unspecified","Cannabis abuse with psychotic disorder, unspecified"
F12,F12180,Cannabis abuse with cannabis-induced anxiety disorder,Cannabis abuse with cannabis-induced anxiety disorder
F12,F12188,Cannabis abuse with other cannabis-induced disorder,Cannabis abuse with other cannabis-induced disorder
F12,F1219,Cannabis abuse with unspecified cannabis-induced disorder,Cannabis abuse with unspecified cannabis-induced disorder
F12,F1220,"Cannabis dependence, uncomplicated","Cannabis dependence, uncomplicated"
F12,F1221,"Cannabis dependence, in remission","Cannabis dependence, in remission"
F12,F12220,"Cannabis dependence with intoxication, uncomplicated","Cannabis dependence with intoxication, uncomplicated"
F12,F12221,Cannabis dependence with intoxication delirium,Cannabis dependence with intoxication delirium
F12,F12222,Cannabis dependence w intoxication w perceptual disturbance,Cannabis dependence with intoxication with perceptual disturbance
F12,F12229,"Cannabis dependence with intoxication, unspecified","Cannabis dependence with intoxication, unspecified"
F12,F1223,Cannabis dependence with withdrawal,Cannabis dependence with withdrawal
F12,F12250,Cannabis dependence with psychotic disorder with delusions,Cannabis dependence with psychotic disorder with delusions
F12,F12251,Cannabis dependence w psychotic disorder with hallucinations,Cannabis dependence with psychotic disorder with hallucinations
F12,F12259,"Cannabis dependence with psychotic disorder, unspecified","Cannabis dependence with psychotic disorder, unspecified"
F12,F12280,Cannabis dependence with cannabis-induced anxiety disorder,Cannabis dependence with cannabis-induced anxiety disorder
F12,F12288,Cannabis dependence with other cannabis-induced disorder,Cannabis dependence with other cannabis-induced disorder
F12,F1229,Cannabis dependence with unsp cannabis-induced disorder,Cannabis dependence with unspecified cannabis-induced disorder
F12,F1290,"Cannabis use, unspecified, uncomplicated","Cannabis use, unspecified, uncomplicated"
F12,F1291,"Cannabis use, unspecified, in remission","Cannabis use, unspecified, in remission"
F12,F12920,"Cannabis use, unspecified with intoxication, uncomplicated","Cannabis use, unspecified with intoxication, uncomplicated"
F12,F12921,"Cannabis use, unspecified with intoxication delirium","Cannabis use, unspecified with intoxication delirium"
F12,F12922,"Cannabis use, unsp w intoxication w perceptual disturbance","Cannabis use, unspecified with intoxication with perceptual disturbance"
F12,F12929,"Cannabis use, unspecified with intoxication, unspecified","Cannabis use, unspecified with intoxication, unspecified"
F12,F1293,"Cannabis use, unspecified with withdrawal","Cannabis use, unspecified with withdrawal"
F12,F12950,"Cannabis use, unsp with psychotic disorder with delusions","Cannabis use, unspecified with psychotic disorder with delusions"
F12,F12951,"Cannabis use, unsp w psychotic disorder with hallucinations","Cannabis use, unspecified with psychotic disorder with hallucinations"
F12,F12959,"Cannabis use, unsp with psychotic disorder, unspecified","Cannabis use, unspecified with psychotic disorder, unspecified"
F12,F12980,"Cannabis use, unspecified with anxiety disorder","Cannabis use, unspecified with anxiety disorder"
F12,F12988,"Cannabis use, unsp with other cannabis-induced disorder","Cannabis use, unspecified with other cannabis-induced disorder"
F12,F1299,"Cannabis use, unsp with unsp cannabis-induced disorder","Cannabis use, unspecified with unspecified cannabis-induced disorder"
F13,F1310,"Sedative, hypnotic or anxiolytic abuse, uncomplicated","Sedative, hypnotic or anxiolytic abuse, uncomplicated"
F13,F1311,"Sedative, hypnotic or anxiolytic abuse, in remission","Sedative, hypnotic or anxiolytic abuse, in remission"
F13,F13120,"Sedatv/hyp/anxiolytc abuse w intoxication, uncomplicated","Sedative, hypnotic or anxiolytic abuse with intoxication, uncomplicated"
F13,F13121,Sedatv/hyp/anxiolytc abuse w intoxication delirium,"Sedative, hypnotic or anxiolytic abuse with intoxication delirium"
F13,F13129,"Sedative, hypnotic or anxiolytic abuse w intoxication, unsp","Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified"
F13,F13130,"Sedatv/hyp/anxiolytc abuse with withdrawal, uncomplicated","Sedative, hypnotic or anxiolytic abuse with withdrawal, uncomplicated"
F13,F13131,Sedatv/hyp/anxiolytc abuse with withdrawal delirium,"Sedative, hypnotic or anxiolytic abuse with withdrawal delirium"
F13,F13132,Sedatv/hyp/anxiolytc abuse with w/drawal w perceptl disturb,"Sedative, hypnotic or anxiolytic abuse with withdrawal with perceptual disturbance"
F13,F13139,"Sedatv/hyp/anxiolytc abuse with withdrawal, unspecified","Sedative, hypnotic or anxiolytic abuse with withdrawal, unspecified"
F13,F1314,"Sedative, hypnotic or anxiolytic abuse w mood disorder","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
F13,F13150,Sedatv/hyp/anxiolytc abuse w psychotic disorder w delusions,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
F13,F13151,Sedatv/hyp/anxiolytc abuse w psychotic disorder w hallucin,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
F13,F13159,"Sedatv/hyp/anxiolytc abuse w psychotic disorder, unsp","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
F13,F13180,"Sedative, hypnotic or anxiolytic abuse w anxiety disorder","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder"
F13,F13181,"Sedative, hypnotic or anxiolytic abuse w sexual dysfunction","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
